prompt,completion
Hola,"Hola Bienvenido a LuzUp, soy Luz en que puedo ayudarte hoy ?"
Buenas,"Hola Bienvenido a LuzUp, soy Luz en que puedo ayudarte hoy ?"
Buen dia,"Hola Bienvenido a LuzUp, soy Luz en que puedo ayudarte hoy ?"
Que tal ,"Hola Bienvenido a LuzUp, soy Luz en que puedo ayudarte hoy ?"
Quiero ser un nuevo cliente ,"Para poder acceder a tu prestamo por favor ingresa a www.luzup.com, y sigue los pasos para registrarte"
Como saber si tengo credito disponible,"Para poder acceder a tu prestamo por favor ingresa a www.luzup.com, y sigue los pasos para registrarte"
Quiero acceder a un prestamo para una consulta con mi medico,"Para poder acceder a tu prestamo por favor ingresa a www.luzup.com, y sigue los pasos para registrarte"
Tengo problemas para ingresar a mi cuenta ,"No hay problema, por favor sigue los pasos en www.luzup.com/support, para solucionarlo!"
Olvide mi contrasenia,"No hay problema, por favor sigue los pasos en www.luzup.com/support, para solucionarlo!"
Olvide mi usuario,"No hay problema, por favor sigue los pasos en www.luzup.com/support, para solucionarlo!"
Se me debito dos veces una cuota ,"Lamentamos oirlo, contacta por favor este numero + 54 12345678, para hablar con nuestro equipo de cuentas"
Mi couta fue mal debitada,"Lamentamos oirlo, contacta por favor este numero + 54 12345678, para hablar con nuestro equipo de cuentas"
Mi pago fue mal cancelado,"Lamentamos oirlo, contacta por favor este numero + 54 12345678, para hablar con nuestro equipo de cuentas"
